Id,faixa_etaria,regiao,tipo_usuario,dificuldade_divulgacao,difuculdade_participacao,is_microempreendedor,frequencia_divulgacao,pagar_divulgacao,receber_notificacao,meios_divulgacao_boca_a_boca,meios_divulgacao_não_costumo_divulgar,meios_divulgacao_panfletos/flyers,meios_divulgacao_redes_sociais,meios_divulgacao_sites_ou_blogs,is_anunciante
64,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
65,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
66,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
67,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
68,entre 30 e 59 anos,n/a regiao,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
69,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
70,menor que 18 anos,leste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
71,menor que 18 anos,oeste,participo de eventos,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
72,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
73,entre 18 e 30 anos,sul,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
74,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
75,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
76,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
77,entre 18 e 30 anos,n/a regiao,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
78,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
79,entre 30 e 59 anos,norte,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),com certeza pagaria,não,False,False,False,True,False,1
79,entre 30 e 59 anos,norte,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),com certeza pagaria,não,True,False,False,False,False,1
80,menor que 18 anos,norte,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
81,entre 30 e 59 anos,norte,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
82,mais que 60 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
83,menor que 18 anos,norte,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
84,entre 30 e 59 anos,n/a regiao,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
85,entre 18 e 30 anos,sul,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
86,menor que 18 anos,sul,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
87,mais que 60 anos,n/a regiao,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
88,entre 30 e 59 anos,norte,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),pagaria dependendo do valor,sim,False,False,False,True,False,1
88,entre 30 e 59 anos,norte,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),pagaria dependendo do valor,sim,True,False,False,False,False,1
89,entre 18 e 30 anos,sul,ambos,sim,não,sim,ocasionalmente (3-6 vezes por ano),com certeza pagaria,sim,False,False,True,False,False,1
90,entre 18 e 30 anos,oeste,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),com certeza pagaria,sim,False,False,False,False,True,1
91,entre 30 e 59 anos,centro,ambos,sim,não,sim,ocasionalmente (3-6 vezes por ano),com certeza pagaria,sim,False,False,False,True,False,1
92,mais que 60 anos,n/a regiao,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),pagaria dependendo do valor,sim,True,False,False,False,False,1
92,mais que 60 anos,n/a regiao,organizo eventos,sim,não,sim,frequentemente (7 ou mais vezes por ano),pagaria dependendo do valor,sim,False,False,True,False,False,1
